name,gender,count
Addisan,F,16
Addisen,F,1203
Addisen,M,6
Addisin,F,35
Addison,F,145882
Addison,M,13363
Addisson,F,91
Addiston,F,5
Addisun,F,16
Addisyn,F,9967
Addisynn,F,253
Addix,M,10
Addle,F,5
Addlee,F,35
Addleigh,F,14
Addler,M,5
Addley,F,292
Addlie,F,6
Addlyn,F,40
Addlynn,F,39
Addonis,M,42
Addox,M,5
Addriana,F,5
Addrianna,F,16
Addrienne,F,15
Addsion,F,5
Addy,F,1467
Addy,M,22
Addylan,F,10
Addylen,F,6
Addylin,F,153
Addyline,F,35
Addylyn,F,52
Addylynn,F,115
Addysan,F,47
Addysen,F,1121
Addysin,F,123
Addysn,F,6
Addyson,F,16738
Addyson,M,33
Addysun,F,13
Addysyn,F,134
Ade,F,34
Ade,M,363
Adea,F,187
Adean,F,93
Adean,M,23
Adeana,F,187
Adeanna,F,5
Adebayo,M,137
Adebisi,F,10
Adebola,F,45
Adebola,M,15
Adebowale,M,24
Adecyn,F,28
Adedamola,M,160
Adedayo,M,72
Adedeji,M,65
Adedotun,M,5
Adedoyin,F,17
Adedoyin,M,5
Adee,F,6
Adeeb,M,306
Adeeba,F,32
Adeel,M,406
Adeem,M,11
Adeen,M,11
Adeena,F,468
Adeera,F,7
Adeeva,F,5
Adefolarin,M,19
Adein,M,47
Adeja,F,123
Adejah,F,30
Adejare,M,6
Adekemi,F,5
Adekunle,M,82
Adel,F,1462
Adel,M,1487
Adela,F,13902
Adelade,F,57
Adelae,F,192
Adelah,F,5
Adelai,F,259
Adelaid,F,5
Adelaida,F,3111
Adelaide,F,33938
Adelaido,M,226
Adelaila,F,5
Adelaina,F,26
Adelaine,F,625
Adelais,F,27
Adelane,F,5
Adelani,F,47
Adelany,F,12
Adelard,M,488
Adelay,F,71
Adelaya,F,43
Adelayda,F,53
Adelayde,F,86
Adelayna,F,5
Adelayne,F,6
Adelbert,M,2373
Adele,F,41996
Adele,M,11
Adelea,F,6
Adelean,F,5
Adelee,F,108
Adeleen,F,5
Adelei,F,118
Adeleia,F,6
Adeleigh,F,198
Adeleine,F,435
Adeleke,M,5
Adelen,F,7
Adelena,F,369
Adelene,F,1243
Adeley,F,47
Adelfa,F,345
Adelfina,F,6
Adelfo,M,69
Adelheid,F,214
Adelheide,F,5
Adeli,F,80
Adelia,F,5628
